Date;Amount;Category;Subcategory;Payment Method;Description;Ref/Check No;Payee/Payer;Status;Receipt Picture;Account;Tag;Tax;Quantity;Split Total;Row Id;Type Id
27.05.2016;3346.0;Salary;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;904;
27.05.2016;-617.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;905;
29.05.2016;-368.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;906;
29.05.2016;-680.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;907;
01.06.2016;-450.0;Other;;Cash;стрижка;;;Uncleared;;Personal Expense;;;1 PCS;;908;
01.06.2016;2700.0;Excursion;;Cash;поселение;;;Uncleared;;Personal Expense;;;1 PCS;;909;
03.06.2016;-440.0;Travel;Bus;Cash;в москву;;;Uncleared;;Personal Expense;;;1 PCS;;910;
03.06.2016;-170.0;Travel;Underground;Cash;метро;;;Uncleared;;Personal Expense;;;1 PCS;;911;
03.06.2016;-1100.0;Entertainment;Bar;Cash;вино к Димке;;;Uncleared;;Personal Expense;;;1 PCS;;912;
03.06.2016;-2274.0;Entertainment;Cafe;Cash;пицца и суши к Димке;;;Uncleared;;Personal Expense;;;1 PCS;;913;
03.06.2016;584.0;Different resources;;Cash;УНК остаток;;;Uncleared;;Personal Expense;;;1 PCS;;914;
03.06.2016;-100.0;Travel;Bus;Cash;в переделкино;;;Uncleared;;Personal Expense;;;1 PCS;;915;
04.06.2016;-662.0;Entertainment;Cafe;Cash;КФС;;;Uncleared;;Personal Expense;;;1 PCS;;916;
04.06.2016;-100.0;Travel;Bus;Cash;в переделкино;;;Uncleared;;Personal Expense;;;1 PCS;;917;
05.06.2016;-60.0;Travel;Bus;Cash;в переделкино;;;Uncleared;;Personal Expense;;;1 PCS;;918;
05.06.2016;-64.0;Travel;Bus;Cash;в москву;;;Uncleared;;Personal Expense;;;1 PCS;;919;
05.06.2016;-130.0;Travel;Underground;Cash;метро;;;Uncleared;;Personal Expense;;;1 PCS;;920;
05.06.2016;-930.0;Entertainment;Other;Cash;обед в кружке;;;Uncleared;;Personal Expense;;;1 PCS;;921;
05.06.2016;-100.0;Entertainment;Other;Cash;кофе Лесе;;;Uncleared;;Personal Expense;;;1 PCS;;922;
05.06.2016;-450.0;Shopping;Book;Cash;книга Карла Сагана;;;Uncleared;;Personal Expense;;;1 PCS;;923;
05.06.2016;-100.0;Travel;Bus;Cash;в переделкино;;;Uncleared;;Personal Expense;;;1 PCS;;924;
06.06.2016;-440.0;Travel;Bus;Cash;из москвы;;;Uncleared;;Personal Expense;;;1 PCS;;925;
06.06.2016;-401.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;926;
06.06.2016;-100.0;Travel;Bus;Cash;в переделкино;;;Uncleared;;Personal Expense;;;1 PCS;;927;
06.06.2016;-64.0;Travel;Bus;Cash;в москву;;;Uncleared;;Personal Expense;;;1 PCS;;928;
07.06.2016;3000.0;Advance payment;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;929;
07.06.2016;-2656.0;Household;Communal payment;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;930;
09.06.2016;-64.0;Travel;Underground;Cash;метро;;;Uncleared;;Personal Expense;;;1 PCS;;931;
09.06.2016;-100.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;932;
09.06.2016;-531.0;Health Care;Medical;Cash;презервативы и спрей;;;Uncleared;;Personal Expense;;;1 PCS;;933;
11.06.2016;-1500.0;Other;;Cash;орг взнос за участие в национальной награде;;;Uncleared;;Personal Expense;;;1 PCS;;934;
11.06.2016;-286.0;Entertainment;Bar;Cash;к вину;;;Uncleared;;Personal Expense;;;1 PCS;;935;
11.06.2016;-30.0;Shopping;Tools;Cash;гвозди;;;Uncleared;;Personal Expense;;;1 PCS;;936;
11.06.2016;-320.0;Shopping;Tools;Cash;сверла и наждак;;;Uncleared;;Personal Expense;;;1 PCS;;937;
11.06.2016;-45.0;Shopping;Tools;Cash;дюпеля и шурупы;;;Uncleared;;Personal Expense;;;1 PCS;;938;
11.06.2016;-74.0;Shopping;Tools;Cash;клей;;;Uncleared;;Personal Expense;;;1 PCS;;939;
12.06.2016;-338.0;Shopping;Tools;Cash;ножовка;;;Uncleared;;Personal Expense;;;1 PCS;;940;
12.06.2016;-388.0;Shopping;Other;Cash;кашпо и эфирные масла;;;Uncleared;;Personal Expense;;;1 PCS;;941;
13.06.2016;-409.0;Food;;Cash;на пикник;;;Uncleared;;Personal Expense;;;1 PCS;;942;
13.06.2016;-516.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;943;
14.06.2016;-95.0;Food;;Cash;снежок и лимоны;;;Uncleared;;Personal Expense;;;1 PCS;;944;
15.06.2016;-75.0;Travel;Bus;Cash;в Серпухов;;;Uncleared;;Personal Expense;;;1 PCS;;945;
15.06.2016;-79.0;Travel;Bus;Cash;из Серпухова;;;Uncleared;;Personal Expense;;;1 PCS;;946;
15.06.2016;1600.0;Excursion;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;947;
17.06.2016;-228.0;Health Care;Other;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;948;
17.06.2016;-1063.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;949;
17.06.2016;1000.0;Different resources;;Cash;карты для александра анатольевича;;;Uncleared;;Personal Expense;;;1 PCS;;950;
18.06.2016;-11000.0;Other;;Cash;финал в красноярске;;;Uncleared;;Personal Expense;;;1 PCS;;951;
18.06.2016;-168.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;952;
18.06.2016;-304.0;Entertainment;Bar;Cash;вино в гости;;;Uncleared;;Personal Expense;;;1 PCS;;953;
19.06.2016;-324.0;Health Care;Medical;Cash;немесил;;;Uncleared;;Personal Expense;;;1 PCS;;954;
20.06.2016;6680.0;Scholarship;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;955;
21.06.2016;-961.0;Other;;Cash;книги Даше;;;Uncleared;;Personal Expense;;;1 PCS;;956;
22.06.2016;-228.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;957;
24.06.2016;-345.0;Shopping;Other;Cash;майки, щетка для обуви, крем;;;Uncleared;;Personal Expense;;;1 PCS;;958;
